thread offset unicorr gausscorr
0 20 0.254856 0.0131758
0 40 0.251132 -0.0148497
0 60 0.252102 0.034069
0 80 0.257952 -0.024065
0 100 0.25907 0.00525933
0 120 0.252652 0.0120317
0 140 0.255877 0.0405432
0 160 0.252809 0.037968
0 180 0.258461 0.00252378
0 200 0.257377 0.0688089
0 220 0.260691 -0.0563595
0 240 0.266384 -0.0666448
0 260 0.259461 0.0174578
0 280 0.256544 0.00296894
0 300 0.258782 0.0381552
0 320 0.254887 0.0232982
0 340 0.26267 -0.0123944
0 360 0.256139 0.0150281
0 380 0.262204 0.00783701
0 400 0.260547 -0.0392311
0 420 0.258606 -0.0716222
0 440 0.250191 -0.00207544
0 460 0.249563 -0.0245697
0 480 0.262679 -0.00243171
0 500 0.250003 0.00845812
0 520 0.2597 0.0497914
0 540 0.251032 -0.0120135
0 560 0.254646 -0.00709529
0 580 0.261049 -0.0530121
0 600 0.253877 -0.102374
0 620 0.256075 -0.00405582
0 640 0.248593 0.0128146
0 660 0.245282 0.0863038
0 680 0.253468 -0.0068805
0 700 0.249981 -0.0123703
0 720 0.233423 0.00417217
0 740 0.238979 0.0470734
0 760 0.22582 0.0175131
0 780 0.221461 0.0322839
0 800 0.233163 -0.0530375
0 820 0.236848 0.0985062
0 840 0.240594 0.0367799
0 860 0.253263 0.205602
0 880 0.250522 0.124656
0 900 0.252287 0.0225412
0 920 0.25723 0.0552639
0 940 0.247792 -0.0146138
0 960 0.246666 -0.109044
0 980 0.223913 -0.177307
1 20 0.260174 0.0388351
1 40 0.26032 0.00244131
1 60 0.261807 -0.0131759
1 80 0.258655 0.0397844
1 100 0.260609 0.0142691
1 120 0.261589 0.0265221
1 140 0.263157 0.0739931
1 160 0.266962 0.00640794
1 180 0.26528 0.00279366
1 200 0.269087 0.0284639
1 220 0.262407 -0.0476181
1 240 0.262458 0.00370884
1 260 0.265242 -0.100734
1 280 0.260712 -0.0268329
1 300 0.259306 0.0450744
1 320 0.26816 0.0859854
1 340 0.267393 0.01319
1 360 0.271818 0.0568279
1 380 0.264371 0.0214022
1 400 0.272473 -0.00233198
1 420 0.263789 0.00798199
1 440 0.257478 -0.0165997
1 460 0.265406 0.0451342
1 480 0.262515 0.0146822
1 500 0.260436 -0.00218845
1 520 0.260064 0.0204198
1 540 0.260925 -0.0645553
1 560 0.256949 -0.0173257
1 580 0.256675 -0.0979296
1 600 0.251724 0.0245056
1 620 0.247605 0.0343692
1 640 0.250989 0.139934
1 660 0.25737 0.0995705
1 680 0.258125 0.0170812
1 700 0.248825 -0.12714
1 720 0.247808 -0.0868171
1 740 0.254506 -0.0221505
1 760 0.248573 0.209469
1 780 0.247326 0.0635768
1 800 0.251503 0.0514879
1 820 0.249723 0.0557797
1 840 0.253525 0.126853
1 860 0.256487 -0.0728927
1 880 0.258216 0.0895414
1 900 0.262361 -0.225136
1 920 0.263575 -0.0480992
1 940 0.242786 0.0818449
1 960 0.291248 0.131717
1 980 0.282538 0.210706
2 20 0.258512 0.026707
2 40 0.261505 -0.0316158
2 60 0.254027 0.0050102
2 80 0.253151 0.0141125
2 100 0.257431 0.00885902
2 120 0.254651 0.0212711
2 140 0.260355 0.0444203
