offset unicorr gausscorr
20 0.249984 -0.00317337
40 0.250043 0.00178677
60 0.250399 0.00532086
80 0.249829 -0.00123193
100 0.249545 -0.000963813
120 0.249955 -0.00674864
140 0.249556 0.00487364
160 0.249575 -0.00221622
180 0.249766 0.00132835
200 0.249976 -0.00417959
220 0.250103 -0.00237017
240 0.250006 0.00568596
260 0.249961 -0.000651703
280 0.249997 -0.000692207
300 0.24978 -0.00100627
320 0.249722 -0.000934498
340 0.24982 0.000354188
360 0.249826 0.00141566
380 0.249969 -0.00207633
400 0.249892 0.000872634
420 0.249913 0.00128479
440 0.249728 0.000577176
460 0.249829 0.00368551
480 0.249971 0.000848923
500 0.25009 -0.000814802
520 0.250049 -0.000485894
540 0.249792 0.000729209
560 0.249769 0.00118904
580 0.249778 0.000832757
600 0.249693 0.000466251
620 0.249964 3.25533e-05
640 0.249854 -0.00152306
660 0.249829 -0.00115948
680 0.249744 0.000256804
700 0.249815 0.00171708
720 0.249781 -0.00361978
740 0.249953 -0.000295771
760 0.249655 0.000688673
780 0.249906 0.00132855
800 0.250046 0.000740812
820 0.249786 0.00127631
840 0.249899 -0.000208076
860 0.249608 -0.000754112
880 0.249913 -0.00274745
900 0.249831 5.13977e-06
920 0.250065 -0.00100852
940 0.250037 -0.0011709
960 0.249656 -0.000766819
980 0.250075 -0.00181035
1000 0.249995 3.81944e-05
1020 0.249922 0.000137695
1040 0.25 0.00237977
1060 0.249634 -0.00106703
1080 0.249954 -0.000153656
1100 0.249847 6.14594e-05
1120 0.24989 -0.0014252
1140 0.25002 0.000252007
1160 0.249822 -0.000311421
1180 0.249884 -0.00295035
1200 0.249936 0.000414185
1220 0.249906 0.000869056
1240 0.250118 -0.000636997
1260 0.249992 0.00309621
1280 0.24978 -0.00128966
1300 0.249876 -0.000591827
1320 0.25002 0.00197747
1340 0.249866 -0.00148273
1360 0.249936 -0.00124025
1380 0.24975 -0.000500802
1400 0.249718 0.00117072
1420 0.249939 0.00120332
1440 0.249962 -0.00138039
1460 0.249766 0.000819721
1480 0.249931 0.000110113
1500 0.249884 -0.000694919
1520 0.249668 0.0014398
1540 0.24975 0.00129436
1560 0.249826 0.00136345
1580 0.249857 9.44757e-05
1600 0.249721 -0.000297162
1620 0.250005 0.000178499
1640 0.249814 0.000111604
1660 0.249929 0.00162573
1680 0.249945 -0.00178804
1700 0.249928 -0.00188142
1720 0.249838 0.00222104
1740 0.250012 0.000132115
1760 0.249762 -0.000102055
1780 0.249807 0.000470138
1800 0.249786 -0.00172589
1820 0.249894 0.000638603
1840 0.249699 -7.75854e-05
