blocks m gputime
10 100 6360.3701171875
10 10 674.32598876953125
10 1 99.51801300048828125
10 200 12530.2490234375
10 300 19306.69140625
10 400 25664.447265625
1 100 5513.15576171875
1 10 611.8192138671875
11 100 6903.80908203125
11 10 704.86639404296875
11 1 108.83081817626953125
11 200 13520.2333984375
11 300 20733.1328125
11 400 27133.126953125
1 1 80.569091796875
1 200 11410.0732421875
12 100 7205.86962890625
12 10 739.82025146484375
12 1 123.04022216796875
12 200 14116.212890625
12 300 21834.7109375
12 400 28583.515625
1 300 17215.1953125
13 100 7449.5439453125
13 10 799.88543701171875
13 1 136.699493408203125
13 200 15063.1640625
13 300 22186.2890625
13 400 29866.400390625
1 400 23184.236328125
14 100 8085.43212890625
14 10 876.83953857421875
14 1 148.636993408203125
14 200 16942.0234375
14 300 24472.580078125
14 400 32614.59375
15 100 13785.533203125
15 10 1451.837158203125
15 1 231.1743011474609375
15 200 28247.80859375
15 300 42027.11328125
15 400 53667.953125
16 100 13425.71484375
16 10 1416.78076171875
16 1 224.7095947265625
16 200 27351.3984375
16 300 41464.328125
16 400 54167.3671875
17 100 14201.439453125
17 10 1496.910400390625
17 1 228.6007080078125
17 200 28094.408203125
17 300 40428.12890625
17 400 55662.99609375
18 100 14115.69140625
18 10 1462.4951171875
18 1 224.6837158203125
18 200 28237.6484375
18 300 41077.875
18 400 54984.01171875
19 100 13803.6435546875
19 10 1484.7672119140625
19 1 231.239166259765625
19 200 27304.759765625
19 300 41210.51171875
19 400 55206.85546875
20 100 14250.3046875
20 10 1481.915283203125
20 1 235.96697998046875
20 200 27429.357421875
20 300 41957.65234375
20 400 54720.9609375
2 100 5722.79052734375
2 10 595.90093994140625
21 100 14149.9736328125
21 10 1483.2384033203125
21 1 234.987640380859375
21 200 27555.130859375
21 300 42241.58984375
21 400 55500.24609375
2 1 81.86569976806640625
2 200 11691.7978515625
22 100 14734.95703125
22 10 1491.599365234375
22 1 241.4588775634765625
22 200 27865.88671875
22 300 42817.4375
22 400 56602.9375
2 300 17791.1953125
23 100 14432.7080078125
23 10 1532.1407470703125
23 1 244.7129974365234375
23 200 28281.6875
23 300 42276.4453125
23 400 57677.62890625
2 400 22757.845703125
24 100 14977.306640625
