blocks m gputime
10 100 12743.9208984375
10 10 1369.821044921875
10 1 204.036834716796875
10 200 25971.111328125
10 300 38324.49609375
10 400 52250.625
1 100 11248.400390625
1 10 1209.60302734375
11 100 13745.1533203125
11 10 1400.238525390625
11 1 224.0793304443359375
11 200 27190.509765625
11 300 40909.609375
11 400 53756.07421875
1 1 161.9830474853515625
1 200 22560.41796875
12 100 14463.9384765625
12 10 1513.1236572265625
12 1 252.32275390625
12 200 28327.701171875
12 300 42752.3984375
12 400 55470.08984375
1 300 33466.07421875
13 100 15270.962890625
13 10 1605.537841796875
13 1 279.0364990234375
13 200 30681.83203125
13 300 45181.01171875
13 400 59687.64453125
1 400 46028.046875
14 100 17219.912109375
14 10 1881.25634765625
14 1 317.6650390625
14 200 32141.53515625
14 300 49612.77734375
14 400 66279.921875
15 100 26728.0234375
15 10 2747.787841796875
15 1 453.648468017578125
15 200 53197.83984375
15 300 84856.1796875
15 400 112391.84375
16 100 27198.630859375
16 10 2866.4208984375
16 1 460.756805419921875
16 200 55265.55078125
16 300 80730.671875
16 400 111307.90625
17 100 28395.3046875
17 10 3038.7080078125
17 1 455.140350341796875
17 200 53821.69140625
17 300 82270.1171875
17 400 107598.1171875
18 100 28239.041015625
18 10 2957.11474609375
18 1 458.011505126953125
18 200 54003.49609375
18 300 82633.5703125
18 400 108438.078125
19 100 28351.69140625
19 10 2911.470703125
19 1 466.458404541015625
19 200 55026.53125
19 300 83543.1796875
19 400 112262.984375
20 100 27636.1640625
20 10 2962.516845703125
20 1 467.039398193359375
20 200 56088.4375
20 300 84260.5234375
20 400 112959.125
2 100 11600.1728515625
2 10 1227.066162109375
21 100 28294.462890625
21 10 2973.594970703125
21 1 475.28204345703125
21 200 55699.40234375
21 300 83662.640625
21 400 113028.890625
2 1 167.874969482421875
2 200 23203.1875
22 100 27683.96875
22 10 3009.90185546875
22 1 492.264801025390625
22 200 55957.76171875
22 300 83250.078125
22 400 111117.1796875
2 300 34972.65625
23 100 29112.87890625
23 10 3155.089111328125
23 1 509.885101318359375
23 200 58592.03125
23 300 84119.15625
23 400 112865.1328125
2 400 45303.28125
24 100 28642.609375
24 10 3180.930419921875
24 1 515.18951416015625
24 200 58469.5
24 300 85355.7265625
24 400 115662.6328125
25 100 29631.572265625
25 10 3166.671875
25 1 537.40179443359375
25 200 57289.4375
25 300 89344.6953125
25 400 115419.0390625
26 100 30236.0625
26 10 3205.32470703125
26 1 555.97039794921875
26 200 58363.34765625
26 300 88297.8984375
26 400 117809
27 100 31641.90234375
27 10 3329.4755859375
27 1 588.33306884765625
27 200 61933.02734375
27 300 91894.1640625
27 400 125147.5859375
28 100 32112.009765625
28 10 3698.579833984375
28 1 620.9168701171875
28 200 66601.1015625
28 300 101094.3515625
28 400 127415.2265625
29 100 42019.7890625
29 10 4521.56591796875
29 1 722.09735107421875
29 200 83000.21875
29 300 125951.640625
29 400 164461.734375
30 100 42345.953125
30 10 4656.890625
30 1 731.58148193359375
30 200 84186.4609375
30 300 127663.3359375
30 400 169242.609375
3 100 11666.849609375
3 10 1169.3365478515625
31 100 43700.28125
31 10 4595.92431640625
31 1 735.2764892578125
31 200 84033.09375
31 300 131933.765625
31 400 170840.921875
3 1 164.1498565673828125
3 200 23147.919921875
32 100 43374.48046875
32 10 4622.63671875
32 1 760.26947021484375
32 200 86107.8828125
32 300 128806.625
32 400 169180.671875
3 300 35101.74609375
33 100 45098.51953125
33 10 4631.3330078125
33 1 783.156005859375
33 200 87917.84375
33 300 130168.4140625
33 400 172060.703125
3 400 46224.66796875
34 100 42742.84375
34 10 4677.5771484375
34 1 779.36383056640625
34 200 87790.4921875
34 300 130976.734375
34 400 175698.46875
35 100 43298.4375
35 10 4758.9931640625
35 1 780.16680908203125
35 200 86966.515625
35 300 129125.4296875
35 400 173520.78125
36 100 44456.3359375
36 10 4765.05126953125
36 1 794.65338134765625
36 200 89107.2265625
36 300 130110.5234375
36 400 176437.53125
37 100 43319.10546875
37 10 4774.0341796875
37 1 800.95709228515625
37 200 88463.3515625
37 300 132496.546875
37 400 175614.078125
38 100 44206.66796875
38 10 4809.20703125
38 1 816.73541259765625
38 200 86908.3828125
38 300 132882.71875
38 400 176864.53125
39 100 46056.23828125
39 10 4930.75537109375
39 1 840.73455810546875
39 200 90744.875
39 300 137067.828125
39 400 177143.640625
40 100 44967.5
40 10 4993.19873046875
40 1 870.6239013671875
40 200 90692.046875
40 300 134650.359375
40 400 189127.171875
4 100 11885.9326171875
4 10 1245.2664794921875
41 100 48267.23046875
41 10 5018.8125
41 1 911.52099609375
41 200 93708.15625
41 300 142952.671875
41 400 188722.359375
4 1 168.9338226318359375
4 200 23490.07421875
42 100 49182.5234375
42 10 5283.62109375
42 1 908.18060302734375
42 200 94831.40625
42 300 142781.09375
42 400 196782.4375
4 300 35092.828125
43 100 56924.94140625
43 10 6078.107421875
43 1 1021.95477294921875
43 200 116861.015625
43 300 173652.9375
43 400 224266.765625
4 400 46415.21875
44 100 58804.94140625
44 10 6367.0009765625
44 1 1040.298583984375
44 200 116571.625
44 300 173684.359375
44 400 231458.203125
45 100 58133.27734375
45 10 6235.91259765625
45 1 1023.46478271484375
45 200 116614.84375
45 300 172469.984375
45 400 232089.1875
46 100 59208.4921875
46 10 6260.62255859375
46 1 1044.359619140625
46 200 114874.890625
46 300 169529.59375
46 400 234540.640625
47 100 58725.60546875
47 10 6360.140625
47 1 1046.1492919921875
47 200 116958.9453125
47 300 174509.484375
47 400 229073.109375
48 100 58134.26953125
48 10 6397.63818359375
48 1 1051.1268310546875
48 200 117270.1015625
48 300 175429.203125
48 400 236987.375
49 100 59261.3125
49 10 6550.5322265625
49 1 1085.456298828125
49 200 116972.7421875
49 300 175346.25
49 400 239728.859375
50 100 58841.65234375
