thread uniavg gaussavg gaussvar gausskurt
0 0.504633 -0.0117958 1.02871 2.68616
1 0.511853 -0.0219354 1.08592 2.43727
2 0.508636 0.0049952 1.00655 3.05371
3 0.504385 0.0236381 1.02265 2.87957
4 0.496918 -0.0512833 0.904875 3.66527
5 0.494944 -0.0165353 0.953229 3.36274
6 0.507779 0.00739001 1.04015 2.77322
7 0.485896 -0.0630501 0.968816 3.23705
8 0.514185 -0.0104974 0.978791 3.19534
9 0.50319 -0.00814744 0.90604 4.04307
10 0.50323 0.0200234 0.954944 3.16853
11 0.499275 0.0350246 0.984219 3.00954
12 0.484983 -0.0211073 0.882139 3.70927
13 0.503473 -0.0480646 0.90459 3.72446
14 0.513487 0.0204124 1.04839 2.61644
15 0.506703 0.0398464 0.988113 3.07073
16 0.494518 0.0345897 1.06755 2.51877
17 0.51431 -0.0204457 0.999771 2.92308
18 0.495999 0.00732184 0.989331 3.19011
19 0.495282 0.0176051 1.04017 2.63787
20 0.515655 -0.00989475 0.961378 3.29916
21 0.500078 -0.00764777 0.999118 2.99066
22 0.510316 0.050158 0.968668 2.94523
23 0.504522 0.0346692 1.02181 2.84532
24 0.486243 -0.0184581 1.02855 2.73096
25 0.48643 0.0518783 0.987085 3.2289
26 0.503122 0.00065162 1.02114 2.77555
27 0.508048 0.00648133 0.988202 3.20879
28 0.495066 0.00730221 1.05926 2.69512
29 0.509645 0.0296459 1.00084 2.99362
30 0.497802 0.00171445 0.967996 2.94615
31 0.509821 0.0165066 0.948244 3.45556
32 0.497424 0.0515506 1.01559 2.6716
33 0.507507 -0.0403917 1.01913 2.75098
34 0.486247 -0.0250707 1.00879 2.92104
35 0.490658 -0.0035219 0.966703 3.15442
36 0.497098 -0.0332715 0.934281 3.23344
37 0.498018 -0.0203324 1.02286 2.86316
38 0.505371 -0.053163 0.943432 3.32152
39 0.492985 0.0313012 1.16532 2.15872
40 0.511733 0.0320168 0.982449 2.92192
41 0.493944 0.0118025 0.953937 3.25082
42 0.508648 0.0162804 1.059 2.64211
43 0.526372 -0.0299564 0.993621 2.99832
44 0.495437 -0.0248782 0.934712 3.51354
45 0.490169 0.0540611 0.946698 3.45793
46 0.485866 -0.0177378 0.971974 3.17033
47 0.498702 0.00464192 0.94071 3.43844
48 0.499808 -0.0463489 0.984587 3.13911
49 0.505877 -0.0173837 1.00172 2.82308
50 0.494935 -0.00377032 1.07534 2.63106
51 0.503244 -0.00282233 0.977815 3.31358
52 0.510019 0.00617571 0.994423 3.25891
53 0.497039 0.0124307 0.937079 3.3304
54 0.507514 -0.0292102 0.967171 3.12359
55 0.508229 -0.0145735 1.01499 2.83725
56 0.481315 -0.00628304 0.996129 3.12789
57 0.505268 -0.00458794 0.936108 3.65694
58 0.509461 -0.015244 1.08154 2.71071
59 0.503188 -0.0145399 0.988533 3.22337
60 0.501004 -0.01207 1.04107 2.7124
61 0.498495 0.0137397 1.00739 3.05167
62 0.509063 0.00913396 1.06856 2.6465
63 0.493232 0.00117301 0.979142 3.42591
64 0.497305 -0.00917524 0.978296 3.27715
65 0.505284 -0.0115881 0.999694 3.18555
66 0.493788 0.0209165 0.950124 3.29222
67 0.493593 -0.051848 0.992089 2.92411
68 0.492462 -0.00795984 1.04067 2.82101
69 0.504737 -0.0235755 1.01148 3.15525
70 0.513048 0.0067952 0.914433 3.2865
71 0.501012 -0.00599829 1.04686 2.59582
72 0.498816 0.00147606 1.02925 2.59327
73 0.501286 -0.0904254 1.02479 3.02902
74 0.491088 -0.0340606 1.00735 2.5865
75 0.506888 0.0318301 0.945978 3.26741
76 0.515753 -0.0300655 1.01476 2.79575
77 0.506088 0.00455665 0.959566 3.03498
78 0.492125 -0.00104149 0.927548 3.61214
79 0.512607 0.0087058 0.983493 2.86381
80 0.492495 0.0349883 1.08127 2.50586
81 0.495898 0.00835673 1.0805 2.59514
82 0.500232 -0.0242934 0.975443 3.35187
83 0.506838 -0.0252441 1.04655 2.92876
84 0.509726 -0.00189037 1.06956 2.70662
85 0.492712 0.0272727 1.04143 2.4765
86 0.49244 0.0298032 1.01632 3.26561
87 0.483618 -0.0277114 0.969384 3.34449
88 0.505224 -0.00551989 1.02179 2.66051
89 0.505267 -0.0586842 0.953798 3.31497
90 0.49212 0.024132 1.00429 2.86686
91 0.519185 -0.0338394 1.0513 2.92155
92 0.505648 0.0725025 0.996138 3.12978
93 0.494802 0.0214352 1.06513 2.44135
94 0.495162 -0.0410296 1.0719 2.5285
95 0.508145 -0.0158306 1.0271 2.86928
96 0.505821 -0.00178896 0.986135 3.17018
97 0.505283 0.0158458 0.949971 3.26285
98 0.496821 0.00158974 0.968871 3.06621
99 0.492657 -0.0214726 0.974795 3.32167
100 0.511968 0.0237178 0.936424 3.08966
101 0.504311 -0.0585157 1.04971 2.64742
102 0.506676 0.0306671 0.98919 3.11635
103 0.507058 0.0044459 1.0599 2.59239
104 0.49162 0.00574337 1.03443 3.00184
105 0.497174 0.0272298 1.10306 2.3849
106 0.501161 -0.0422906 0.971055 3.19719
107 0.490334 -0.0196818 0.995867 2.76709
108 0.48807 -0.066852 0.993078 3.0532
109 0.493996 0.0227418 0.990946 3.11089
110 0.494924 0.00811223 0.983971 3.05055
111 0.50336 -0.0191239 0.997557 2.99092
112 0.493907 -0.0324899 0.923083 3.54382
113 0.504707 0.00917337 1.05523 2.58764
114 0.51028 -0.0526939 0.999338 3.032
115 0.498246 0.0201286 0.972658 3.14689
116 0.49778 0.00658928 1.03632 2.86962
117 0.502573 -0.0502505 1.05624 2.69818
118 0.487857 0.016121 0.97367 3.38477
119 0.500636 0.0263563 1.00331 2.68285
120 0.490933 0.00136028 0.963032 3.02348
121 0.496088 -0.0611782 0.990046 3.08322
122 0.486362 -0.0125435 1.06277 2.57859
123 0.517636 -0.0578506 1.04303 2.34347
124 0.506846 -0.00284203 0.975339 3.54312
125 0.500821 0.0355187 0.96841 3.06698
126 0.479044 -0.0347754 0.913738 3.67621
127 0.496548 0.0197773 0.962416 3.26842
128 0.514224 -0.0385833 1.04762 2.70788
129 0.509216 0.00998457 1.04647 2.68257
130 0.486696 0.0339367 0.98131 3.06026
131 0.499013 0.0423795 1.04192 2.71714
132 0.509394 0.0179155 1.03297 2.66534
133 0.506556 -0.0618409 0.997011 2.78212
134 0.48953 0.0256802 1.05694 2.73363
135 0.488355 -0.00859229 0.986061 3.03783
136 0.500543 0.0131499 1.00919 2.71431
137 0.506418 -0.00324889 0.987455 2.98971
138 0.476884 -0.0240816 0.99377 3.13794
