blocks m cpu gpu
1 100 35631.53515625 5341.82080078125
1 10 3776.387451171875 574.192626953125
11 100 394355.25 6809.177734375
11 10 41568.9609375 694.0736083984375
11 1 5139.3544921875 114.73033905029296875
11 200 789041.0625 13670.5029296875
11 300 1181858.75 20718.251953125
11 400 1578625.375 27706.458984375
1 1 469.732513427734375 81.82192230224609375
1 200 71550.4921875 11643.615234375
1 300 108497.96875 16960.556640625
1 400 143335.796875 22367.78125
21 100 749094.6875 14297.4248046875
21 10 79752.4609375 1494.9093017578125
21 1 9769.9052734375 254.630462646484375
21 200 1498788.25 27875.984375
21 300 2255468.75 41656.45703125
21 400 3021827.25 56148.6875
31 100 1110946.75 21294.724609375
31 10 117085.1953125 2300.039794921875
31 1 14559.1611328125 382.308013916015625
31 200 2223088.75 42119.9453125
31 300 3365525.25 63534.1796875
31 400 4496093 85875.8828125
41 100 1471805.125 23521.49609375
41 10 154169.140625 2604.013427734375
41 1 19090.728515625 455.833038330078125
41 200 2932976.25 46245.484375
41 300 4403295.5 71713.578125
41 400 5938197.5 94943.28125
51 100 1816421 29501.724609375
51 10 192198.921875 3349.576904296875
51 1 24126.56640625 568.04583740234375
51 200 3647272.75 59567.609375
51 300 5486633 90283.015625
51 400 7312114 119486.265625
61 100 2175817.25 37487.1640625
61 10 229558.34375 4002.541015625
61 1 28753.513671875 693.4852294921875
61 200 4369495 72563.9140625
61 300 6557788 112091.3359375
61 400 8750664 147169.625
71 100 2529294.75 44481.48046875
71 10 268145.90625 4702.85107421875
71 1 33022.48828125 804.6978759765625
71 200 5140276 88746.7109375
71 300 7628076 135758.5
71 400 10221083 175366.09375
81 100 2884095.75 46015.2890625
81 10 304516.4375 5136.1376953125
81 1 38362.58984375 892.45391845703125
81 200 5794730.5 91712.09375
81 300 8704166 136786.3125
81 400 11606638 187848.359375
