B K exactPrice exactError eulerPrice eulerError
0 0.1 0 0 0 0
0 0.2 0 0 0 0
0 0.3 0 0 0 0
0 0.4 0 0 0 0
0 0.5 0 0 0 0
0 0.6 0 0 0 0
0 0.7 0 0 0 0
0 0.8 0 0 0 0
0 0.9 0 0 0 0
0 0 0 0 0 0
0 1.0 0 0 0 0
0.2 0.1 0.058513124804944173507 1.155056428894856726e-06 0.058514809976418231952 1.1553549118860667728e-06
0.2 0.2 0 0 0 0
0.2 0.3 0 0 0 0
0.2 0.4 0 0 0 0
0.2 0.5 0 0 0 0
0.2 0.6 0 0 0 0
0.2 0.7 0 0 0 0
0.2 0.8 0 0 0 0
0.2 0.9 0 0 0 0
0.2 0 0.1585031407133855319 1.155341736162621821e-06 0.15850438114933693146 1.1563456235422273529e-06
0.2 1.0 0 0 0 0
0.4 0.1 0.21082030637522586325 1.4648278812186513491e-06 0.2108236834974976659 1.4662905079489164217e-06
0.4 0.2 0.11083019756607327688 1.46394917441054665e-06 0.11083328869694539232 1.464479042165765103e-06
0.4 0.3 0.010854887906933050057 1.4510703085883148218e-06 0.010858044151292878254 1.451307415029744075e-06
0.4 0.4 0 0 0 0
0.4 0.5 0 0 0 0
0.4 0.6 0 0 0 0
0.4 0.7 0 0 0 0
0.4 0.8 0 0 0 0
0.4 0.9 0 0 0 0
0.4 0 0.3108106039155027478 1.4649517564844402342e-06 0.31081350059582057987 1.4674922955750748421e-06
0.4 1.0 0 0 0 0
0.6 0.1 0.35145712126052952584 1.5758863474335914492e-06 0.35145927672497190297 1.5795849492217091992e-06
0.6 0.2 0.25146673687893617011 1.5754396029822287922e-06 0.2514694867839328829 1.5771623184581362058e-06
0.6 0.3 0.1514766527173201649 1.5745964600745793463e-06 0.15147984739783537655 1.5748956598131920519e-06
0.6 0.4 0.051486449137645211305 1.5737279789162566302e-06 0.051490333759163439686 1.5736712060263560815e-06
0.6 0.5 0 0 0 0
0.6 0.6 0 0 0 0
0.6 0.7 0 0 0 0
0.6 0.8 0 0 0 0
0.6 0.9 0 0 0 0
0.6 0 0.45144684270841434204 1.5758556645588044947e-06 0.45144896297638231752 1.5808691005652351556e-06
0.6 1.0 0 0 0 0
0.8 0.1 0.47623995252346817963 1.5658251711361891786e-06 0.47624257665104485771 1.5731465402901399893e-06
0.8 0.2 0.37624996323236331586 1.5656065034422838337e-06 0.37625307301137023153 1.5703117986980839452e-06
0.8 0.3 0.27625954876378006064 1.5648683136297412338e-06 0.27626320845779261948 1.56724049523380295e-06
0.8 0.4 0.17626965320330120757 1.563626056882361864e-06 0.17627306733187161902 1.5647205820259612869e-06
0.8 0.5 0.076279829335654705802 1.5626379954196912214e-06 0.076283205398031128652 1.5631748444885397351e-06
0.8 0.6 8.6991300434988132061e-10 4.9704175807150797103e-10 3.6996300184994198805e-10 2.0072849104868826692e-10
0.8 0.7 0 0 0 0
0.8 0.8 0 0 0 0
0.8 0.9 0 0 0 0
0.8 0 0.57623000477827257537 1.5658487301059304246e-06 0.57623214617412688021 1.5749593447719833583e-06
0.8 1.0 0 0 0 0
1.0 0.1 0.58262818077868683275 1.4773559089043141538e-06 0.58263259225751296011 1.484721168022987493e-06
1.0 0.2 0.48263822288443652964 1.4773530118019161022e-06 0.48264299089761292239 1.48178755607915344e-06
1.0 0.3 0.38264841243545205662 1.476868745736015531e-06 0.38265276693997879454 1.4779357258181016519e-06
1.0 0.4 0.28265864104255550293 1.4753436494614996839e-06 0.28266290163647339595 1.4749360427611511516e-06
1.0 0.5 0.18266895292133147888 1.4735084573678706757e-06 0.18267303762284156643 1.4728372160181559506e-06
1.0 0.6 0.082679355081081387646 1.4723749656197464851e-06 0.082682753621210136608 1.4718934543001056948e-06
1.0 0.7 9.439056047198824506e-08 4.4192988621368595219e-09 9.8340165491737561478e-08 4.5085105065634311746e-09
1.0 0.8 0 0 0 0
1.0 0.9 0 0 0 0
1.0 0 0.68261783811298237801 1.4773529782467359664e-06 0.6826221911876563242 1.4859164952782599036e-06
1.0 1.0 0 0 0 0
1.2 0.1 0.66979171797913539255 1.3386250228536418271e-06 0.66979333501741900037 1.3445674122799454059e-06
1.2 0.2 0.56980224098679610467 1.3381029559272850541e-06 0.56980328583230632766 1.3422171269166432941e-06
1.2 0.3 0.46981193604725801638 1.3372014642480975382e-06 0.46981357654320105022 1.3399391922297874921e-06
1.2 0.4 0.36982212393843283404 1.3362474951904685236e-06 0.36982364925589622517 1.3368556383795432615e-06
1.2 0.5 0.26983218830196631366 1.3344755042265704792e-06 0.26983369515127025862 1.3341990260428218927e-06
1.2 0.6 0.16984218407235457393 1.3326949263660541617e-06 0.16984406410434016443 1.3321928035291528873e-06
1.2 0.7 0.069852215249202737057 1.3315306204011456833e-06 0.069853875403179166437 1.3310825424351708411e-06
1.2 0.8 0 0 0 0
1.2 0.9 0 0 0 0
1.2 0 0.76978186278468652137 1.3386186784091632627e-06 0.76978364416653188851 1.3440575321773846607e-06
1.2 1.0 0 0 0 0
1.4 0.1 0.73841073415440472427 1.1741972114909979609e-06 0.73841109390843140403 1.1828648037524511815e-06
1.4 0.2 0.63842077493029447677 1.1737081587643471076e-06 0.63842122753503782739 1.1799842836980980663e-06
1.4 0.3 0.53843059970779050261 1.1730305505983640844e-06 0.5384311504727106179 1.1765422667950002295e-06
1.4 0.4 0.43844060884683949686 1.1714288860691827763e-06 0.4384418099067282637 1.1711552501263883149e-06
1.4 0.5 0.33845100746694134486 1.1695431923063976127e-06 0.33845157073061166164 1.1682212210662971596e-06
1.4 0.6 0.23846126504115081057 1.1669733440861433373e-06 0.23846195098255421052 1.1658814589249625225e-06
1.4 0.7 0.13847145603201663211 1.1651429044233124069e-06 0.13847214645297123425 1.1641147374145616322e-06
1.4 0.8 0.038481679339651027327 1.1640068074478771576e-06 0.03848250104747628908 1.163409330687340679e-06
1.4 0.9 0 0 0 0
