sigma m counter
0 10 0
0 1 0
0 20 0
0.25 10 0
0.25 1 623
0.25 20 0
0.25 2 0
0.25 30 0
0.25 3 0
0.25 40 0
0.25 4 0
0.25 5 0
0.25 6 0
0.25 7 0
0.25 8 0
0.25 9 0
0 2 0
0 30 0
0 3 0
0 40 0
0 4 0
0.5 10 0
0.5 1 454052
0.5 20 0
0.5 2 93620
0.5 30 0
0.5 3 16078
0.5 40 0
0.5 4 2574
0.5 5 406
0.5 6 58
0.5 7 6
0.5 8 0
0.5 9 0
0 5 0
0 6 0
0.75 10 2474
0.75 1 1824928
0.75 20 1
0.75 2 1169679
0.75 30 0
0.75 3 620344
0.75 40 0
0.75 4 304480
0.75 5 142910
0.75 6 65406
0.75 7 29209
0.75 8 12938
0.75 9 5733
0 7 0
0 8 0
0 9 0
1 10 156186
1 1 3173995
1 20 1562
1 2 3023954
1 30 12
1 3 2395433
1 40 2
1 4 1758384
1 5 1235155
1 6 842587
1 7 563145
1 8 370933
1 9 241656
