m N exactPrice exactError eulerPrice eulerError
100 100000000 0.37886188663748088246 4.6087056811074658062e-06 0.37891083301817546358 4.607599585020906701e-06
100 10000000 0.37884867452144332933 1.4578088505733818883e-05 0.37891731566646730256 1.4572779160531518518e-05
100 200000000 0.37886277560323050606 3.2586088984502021476e-06 0.3789158469275540897 3.2582243997846067097e-06
100 50000000 0.37885511360755286248 6.5187672985972547015e-06 0.37891726002566761267 6.5160045815808235705e-06
100 5000000 0.37885914033823625546 2.0612409979343875141e-05 0.37889049125627133341 2.060720145323375135e-05
10 100000000 0.37894585187275514615 1.4494949164412891248e-05 0.37945925211454356596 1.4490812430294019338e-05
10 10000000 0.37894056401667308709 4.5832351096223658831e-05 0.37951623839300357988 4.5815635973256961522e-05
10 200000000 0.37895757059755547091 1.0250374396899320311e-05 0.37946500281894751661 1.0245905817194021209e-05
10 50000000 0.37896377276489406905 2.0498659665464457431e-05 0.37944029959067615554 2.0494335223768893306e-05
10 5000000 0.37891896112928935558 6.4805097171774167573e-05 0.37954015799697726763 6.4798184012372693572e-05
1 100000000 0.47188258715491243622 3.2304476131533289786e-05 0.47540213015965998578 3.2165676518558283586e-05
1 10000000 0.47182279210520938761 0.0001021630592083234019 0.47562589033258512172 0.00010168841920334302444
1 200000000 0.47189900168634252298 2.2842263671053861831e-05 0.47539654429870853436 2.2744726248334370098e-05
1 50000000 0.47187532414939603598 4.5685826864809763262e-05 0.47544007381959646485 4.5486985487372240075e-05
1 5000000 0.47185127583894442838 0.00014447544256947564344 0.47556940798958985406 0.00014381928070034629449
150 100000000 0.37886725333460591347 3.7627399577234199092e-06 0.37890124907176869762 3.7622011029213496391e-06
150 10000000 0.37885503031135986385 1.1901351861398656759e-05 0.37890500736693466521 1.1896516241687154087e-05
150 200000000 0.37886914492382617325 2.660411034149838411e-06 0.37890341721490955473 2.660299068864437118e-06
150 50000000 0.37886691698167301867 5.3212602587726505647e-06 0.37890680252529568284 5.3200397850300269991e-06
150 5000000 0.37886576905189017772 1.6828519650182383798e-05 0.37889983732670284855 1.6825425530380116996e-05
200 100000000 0.37886972812917740772 3.2588199687736214988e-06 0.37889777935962398736 3.2583114523577988246e-06
200 10000000 0.37886197039568819678 1.0308560620999557907e-05 0.37890009523468604069 1.0302375998191097618e-05
200 200000000 0.37887220936732640686 2.3041291227509790581e-06 0.37889840885806591597 2.3040277622936658994e-06
200 50000000 0.37887284837022483508 4.608721819289158492e-06 0.37889382198192206319 4.6080246735087506489e-06
200 5000000 0.37885610781559631022 1.457514888892926365e-05 0.37889950169980951555 1.456695046535277379e-05
2 100000000 0.4080467480043305506 2.7157799654249962872e-05 0.41010889805180117396 2.7144553088415713799e-05
2 10000000 0.40800029882640126422 8.5876168319628691039e-05 0.41022016876263600604 8.5835342053884735669e-05
2 200000000 0.40807679997694590313 1.92034051155590077e-05 0.41007888023582900194 1.9194629929226727464e-05
2 50000000 0.40804670444223634096 3.8407909234678738253e-05 0.41013257509367401221 3.8386513752469522979e-05
2 5000000 0.40793688613455453273 0.00012145219014640006505 0.41037324036743788591 0.00012138654134236381854
250 100000000 0.3788719229508502595 2.914362593583254329e-06 0.37889285775259440303 2.9143457639448494534e-06
250 10000000 0.37886504776758611612 9.2171511850189480038e-06 0.37889420275508828295 9.2130807045993497423e-06
250 200000000 0.37887346940869776057 2.060795001747106143e-06 0.37889441965521836186 2.0608265793597765988e-06
250 50000000 0.3788735827099852238 4.1215541085842719219e-06 0.37889259396370777999 4.1215953462685749967e-06
250 5000000 0.3788603984935645097 1.303699601963708644e-05 0.37890035294465529425 1.3029783205448932669e-05
3 100000000 0.38780949313048257432 2.4638944161780269924e-05 0.3893451851689063159 2.4625303018074257773e-05
3 10000000 0.38776501349167424859 7.7892018687207874089e-05 0.38947187590588899786 7.7879432103130041788e-05
3 200000000 0.38782261739627743591 1.7421059354012618777e-05 0.38933974352519407081 1.7412089332039631365e-05
3 50000000 0.38782514053816147248 3.4845432462266825915e-05 0.38940726591378888033 3.4826737666812204492e-05
3 5000000 0.38780337792273583686 0.00011014675861617780951 0.38947494506037810824 0.00011011252076621540728
365 100000000 0.37887480723939037652 2.4117781365820541768e-06 0.37888976998458995249 2.4120352918086324528e-06
365 10000000 0.37886903183118936234 7.6314976393449576844e-06 0.37889092644420563349 7.6251956770107943257e-06
365 200000000 0.37887555918228926766 1.7055603783806880282e-06 0.37888948243619030576 1.7055809541956095238e-06
365 50000000 0.37887483032250607318 3.4108652877990411181e-06 0.37889095237537218086 3.4112193714757493065e-06
365 5000000 0.3788636257522266515 1.079281224837544459e-05 0.37889218041691236083 1.0784726838518529432e-05
4 100000000 0.38578510374865754295 2.1536369137333911743e-05 0.38693534562560844003 2.1528960680525416788e-05
4 10000000 0.3857195787855723923 6.8094565344191710526e-05 0.38703140966603738482 6.8062284606352279281e-05
4 200000000 0.38579800137529229875 1.5228465673663266043e-05 0.38695458452142761363 1.5221842966890989618e-05
4 50000000 0.38576961590415159709 3.0456404274792134567e-05 0.38698868010524450911 3.0447389492061089353e-05
4 5000000 0.38575528493282484899 9.629751353145164566e-05 0.38708093195871934311 9.6246068091058548121e-05
50 100000000 0.37883441701180636807 6.517848453826871857e-06 0.37895145515887168619 6.5160528550445962238e-06
50 10000000 0.37884404603847199322 2.0609454329617728869e-05 0.37892596276171619518 2.0608499635296450279e-05
50 200000000 0.378845922083914044 4.6083384085564642037e-06 0.37894445253640318683 4.6076269257524260265e-06
50 50000000 0.37883678065678155766 9.2171885742436887118e-06 0.378944671535425881 9.2156552355784473259e-06
50 5000000 0.37880849136884048312 2.9147422032458544783e-05 0.37894693993759165362 2.9131863927214292381e-05
5 100000000 0.3829058977499287808 1.9624604347734447764e-05 0.38385277052038030421 1.961941286374938308e-05
5 10000000 0.38286486414469461659 6.2052404790243948537e-05 0.3839598097583297176 6.2029631825616360873e-05
5 200000000 0.38291230337242831983 1.387725860378974045e-05 0.38386942711885707613 1.3872217873735676773e-05
5 50000000 0.38289108462451321158 2.7752639441484782659e-05 0.38388559364271340746 2.7742848391790172943e-05
5 5000000 0.38280635219951436587 8.7778883725236054626e-05 0.38407775439501840031 8.7704458850077182371e-05
